goos: linux
goarch: amd64
pkg: github.com/nancysworld/alloca-go/internal/telemetry
cpu: Intel(R) Core(TM) i7-14700F
BenchmarkRecorderNop-10                	1000000000	         0.1959 ns/op	       0 B/op	       0 allocs/op
BenchmarkRecorderNop-10                	1000000000	         0.2072 ns/op	       0 B/op	       0 allocs/op
BenchmarkRecorderNop-10                	1000000000	         0.2131 ns/op	       0 B/op	       0 allocs/op
BenchmarkRecorderNop-10                	1000000000	         0.2041 ns/op	       0 B/op	       0 allocs/op
BenchmarkRecorderNop-10                	1000000000	         0.1998 ns/op	       0 B/op	       0 allocs/op
BenchmarkRecorderSlogBoundedSink-10    	 1497746	       798.7 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderSlogBoundedSink-10    	 1504083	       791.6 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderSlogBoundedSink-10    	 1554908	       790.5 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderSlogBoundedSink-10    	 1522833	       786.6 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderSlogBoundedSink-10    	 1520935	       803.0 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderPrometheus-10         	 9068908	       141.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRecorderPrometheus-10         	 9028570	       138.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRecorderPrometheus-10         	 8835769	       135.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRecorderPrometheus-10         	 8872633	       135.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRecorderPrometheus-10         	 9127360	       138.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRecorderTee-10                	 1200861	       993.8 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderTee-10                	 1235964	       979.7 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderTee-10                	 1212123	       988.6 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderTee-10                	 1210057	      1003 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderTee-10                	 1000000	      1004 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderTeeParallel-10        	 5329993	       228.8 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderTeeParallel-10        	 4991878	       228.3 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderTeeParallel-10        	 4699400	       228.7 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderTeeParallel-10        	 5673970	       220.7 ns/op	      88 B/op	       2 allocs/op
BenchmarkRecorderTeeParallel-10        	 5215612	       222.2 ns/op	      88 B/op	       2 allocs/op
PASS
ok  	github.com/nancysworld/alloca-go/internal/telemetry	26.115s
