ts,ckpt_req,ckpt_timed,buffers_ckpt,bgwriter_clean
10:44:46,3,2,6079,11252
10:44:49,3,2,6079,11252
10:44:51,3,2,6079,11252
10:44:54,3,2,6079,11252
10:44:56,3,2,6079,11252
10:44:58,3,2,6079,11252
10:45:00,3,2,6079,11252
10:45:02,3,2,6079,11252
10:45:04,3,2,6079,11252
10:45:06,3,2,6079,11252
10:45:08,3,2,6079,11252
10:45:10,3,2,6079,11252
10:45:13,3,3,6079,11252
10:45:15,3,3,6079,11252
10:45:17,3,3,6079,11252
10:45:19,3,3,6079,11252
10:45:21,3,3,6079,11252
10:45:24,3,3,6079,11252
10:45:26,3,3,6079,11252
10:45:28,3,3,6079,11252
10:45:30,3,3,6079,11252
10:45:32,3,3,6079,11252
10:45:34,3,3,6079,11252
10:45:37,3,3,6079,11252
10:45:39,3,3,6079,11252
10:45:41,3,3,6079,11252
10:45:43,3,3,6079,11252
10:45:45,3,3,6079,11252
10:45:47,3,3,6079,11252
10:45:49,3,3,6079,11252
10:45:51,3,3,6079,11252
10:45:54,3,3,6079,11252
10:45:56,3,3,6079,11252
10:45:58,3,3,6079,11252
10:46:01,3,3,6079,11252
10:46:03,3,3,6079,11252
10:46:05,3,3,6079,11252
10:46:07,3,3,6079,11252
10:46:09,3,3,6079,11252
10:46:11,3,3,6079,11252
10:46:13,3,3,6079,11252
10:46:15,3,3,6079,11252
10:46:17,3,3,6079,11252
10:46:20,3,3,6079,11252
10:46:22,3,3,6079,11252
10:46:25,3,3,6079,11252
10:46:27,3,3,6079,11252
10:46:29,3,3,6079,11252
10:46:31,3,3,6079,11252
10:46:33,3,3,6079,11252
10:46:35,3,3,6079,11252
10:46:37,3,3,6079,11252
10:46:39,3,3,6079,11252
10:46:41,3,3,6079,11252
10:46:44,3,3,6079,11252
10:46:46,3,3,6079,11252
10:46:48,3,3,6079,11252
10:46:50,3,3,6079,11252
10:46:52,3,3,6079,11252
10:46:55,3,3,6079,11252
10:46:57,3,3,6079,11252
10:46:59,3,3,6079,11252
10:47:01,3,3,6079,11252
10:47:03,3,3,6079,11252
10:47:05,3,3,6079,11252
10:47:07,3,3,6079,11252
10:47:10,3,3,6079,11252
10:47:12,3,3,6079,11252
10:47:14,3,3,6079,11252
10:47:16,3,3,6079,11252
10:47:18,3,3,6079,11252
10:47:20,3,3,6079,11252
10:47:22,3,3,6079,11252
10:47:24,3,3,6079,11252
10:47:27,3,3,6079,11252
10:47:30,3,3,6079,11252
10:47:32,3,3,6079,11252
10:47:34,3,3,6079,11252
10:47:36,3,3,6079,11252
10:47:38,3,3,6079,11252
10:47:40,3,3,6079,11252
10:47:42,3,3,6079,11252
10:47:44,3,3,6079,11252
10:47:46,3,3,6079,11252
10:47:49,3,3,6079,11252
10:47:51,3,3,6079,11252
10:47:53,3,3,6079,11252
10:47:55,3,3,6079,11252
10:47:58,3,3,6079,11252
10:48:00,3,3,6079,11252
10:48:02,3,3,6079,11252
10:48:04,3,3,6079,11252
10:48:06,3,3,6079,11252
10:48:09,3,3,6079,11252
10:48:11,3,3,6079,11252
10:48:13,3,3,6079,11252
10:48:15,4,3,6145,11252
10:48:17,4,3,6215,11252
10:48:20,4,3,6251,11252
10:48:22,4,3,6251,11252
10:48:24,4,3,6251,11252
10:48:26,4,3,6251,11252
10:48:29,4,3,6251,11252
10:48:31,4,3,6251,11252
10:48:33,4,3,6251,11252
10:48:35,4,3,6251,11252
10:48:37,4,3,6251,11252
10:48:39,4,3,6251,11252
10:48:41,4,3,6251,11252
10:48:44,4,3,6251,11252
10:48:46,4,3,6251,11252
10:48:48,4,3,6251,11252
10:48:50,4,3,6251,11252
10:48:52,4,3,6251,11252
10:48:54,4,3,6251,11252
10:48:56,4,3,6251,11252
10:48:59,4,3,6251,11252
10:49:01,4,3,6251,11252
10:49:03,4,3,6251,11252
10:49:06,4,3,6251,11252
10:49:08,4,3,6251,11252
10:49:10,4,3,6251,11252
10:49:12,4,3,6251,11252
10:49:14,4,3,6251,11252
10:49:16,4,3,6251,11252
10:49:18,4,3,6251,11252
10:49:20,4,3,6251,11252
10:49:23,4,3,6251,11252
10:49:25,4,3,6251,11252
10:49:27,4,3,6251,11252
10:49:30,4,3,6251,11252
10:49:32,4,3,6251,11252
10:49:34,4,3,6251,11252
