ts,rtt_ms
11:03:14,50
11:03:16,46
11:03:19,49
11:03:22,47
11:03:24,45
11:03:26,49
11:03:28,48
11:03:30,50
11:03:32,54
11:03:35,83
11:03:37,51
11:03:39,49
11:03:41,48
11:03:43,51
11:03:45,50
11:03:48,64
11:03:50,74
11:03:53,64
11:03:55,60
11:03:57,57
11:03:59,47
11:04:01,50
11:04:04,46
11:04:06,54
11:04:08,49
11:04:10,48
11:04:12,48
11:04:14,51
11:04:17,50
11:04:19,55
11:04:22,60
11:04:24,67
11:04:26,64
11:04:28,61
11:04:31,63
11:04:33,76
11:04:35,62
11:04:37,63
11:04:40,67
11:04:42,85
11:04:44,73
11:04:46,58
11:04:49,52
11:04:51,52
11:04:54,53
11:04:56,49
11:04:58,51
11:05:00,47
11:05:02,48
11:05:04,51
11:05:07,54
11:05:09,52
11:05:11,49
11:05:13,74
11:05:15,62
11:05:18,68
11:05:20,65
11:05:22,92
11:05:25,50
11:05:27,49
11:05:29,77
11:05:32,46
11:05:34,47
11:05:36,47
11:05:38,47
11:05:40,49
11:05:42,48
11:05:45,83
11:05:47,69
11:05:49,204
11:05:51,223
11:05:55,92
11:05:57,107
11:05:59,91
11:06:02,112
11:06:04,135
11:06:07,143
11:06:09,100
11:06:11,87
11:06:14,165
11:06:16,50
11:06:19,49
11:06:21,50
11:06:23,52
11:06:26,53
11:06:28,51
11:06:30,48
11:06:32,53
11:06:35,50
11:06:37,47
11:06:39,51
11:06:41,50
11:06:43,49
11:06:45,46
11:06:47,49
11:06:50,47
11:06:52,47
11:06:54,54
11:06:57,49
11:06:59,46
11:07:01,48
11:07:03,46
11:07:06,50
11:07:08,52
11:07:10,48
11:07:12,48
11:07:14,50
11:07:16,51
11:07:19,52
11:07:21,49
11:07:23,48
11:07:25,49
11:07:28,48
11:07:30,46
11:07:32,48
11:07:34,45
11:07:37,51
11:07:39,48
11:07:41,47
11:07:43,49
11:07:45,47
11:07:47,48
11:07:50,49
11:07:52,48
11:07:54,54
11:07:56,48
11:07:59,47
11:08:01,53
11:08:03,49
11:08:06,49
11:08:08,47
11:08:10,49
11:08:12,48
11:08:14,48
11:08:16,49
11:08:18,52
11:08:21,52
11:08:23,48
11:08:25,50
11:08:28,51
11:08:30,48
11:08:32,50
11:08:34,55
11:08:37,51
11:08:39,47
11:08:41,55
11:08:43,52
11:08:45,50
11:08:47,48
11:08:50,50
11:08:52,49
11:08:54,49
11:08:56,48
11:08:59,49
11:09:01,49
11:09:03,49
11:09:05,47
11:09:08,47
11:09:10,50
11:09:12,47
11:09:14,46
