ts,state,n
11:03:14,active,1
11:03:16,active,1
11:03:19,active,1
11:03:22,active,1
11:03:24,active,1
11:03:26,active,2
11:03:28,active,2
11:03:30,active,2
11:03:32,active,2
11:03:35,active,2
11:03:37,active,2
11:03:39,active,2
11:03:41,active,2
11:03:43,active,2
11:03:45,active,2
11:03:48,active,22
11:03:48,idle in transaction,19
11:03:50,active,1
11:03:50,idle,4
11:03:50,idle in transaction,36
11:03:53,active,30
11:03:53,idle in transaction,11
11:03:55,active,11
11:03:55,idle,2
11:03:55,idle in transaction,28
11:03:57,active,1
11:03:57,idle,40
11:03:59,active,2
11:03:59,idle,40
11:04:01,active,2
11:04:01,idle,40
11:04:04,active,2
11:04:04,idle,40
11:04:06,active,2
11:04:06,idle,40
11:04:08,active,2
11:04:08,idle,40
11:04:10,active,2
11:04:10,idle,40
11:04:12,active,2
11:04:12,idle,40
11:04:14,active,2
11:04:14,idle,40
11:04:17,active,2
11:04:17,idle,40
11:04:19,active,18
11:04:19,idle,3
11:04:19,idle in transaction,20
11:04:22,active,26
11:04:22,idle,1
11:04:22,idle in transaction,14
11:04:24,active,11
11:04:24,idle,3
11:04:24,idle in transaction,27
11:04:26,active,18
11:04:26,idle,3
11:04:26,idle in transaction,20
11:04:28,active,18
11:04:28,idle,2
11:04:28,idle in transaction,21
11:04:31,active,6
11:04:31,idle,1
11:04:31,idle in transaction,34
11:04:33,active,36
11:04:33,idle in transaction,5
11:04:35,active,29
11:04:35,idle,1
11:04:35,idle in transaction,12
11:04:37,active,4
11:04:37,idle,4
11:04:37,idle in transaction,33
11:04:40,active,7
11:04:40,idle,8
11:04:40,idle in transaction,26
11:04:42,active,13
11:04:42,idle in transaction,28
11:04:44,active,6
11:04:44,idle,1
11:04:44,idle in transaction,34
11:04:46,active,38
11:04:46,idle in transaction,3
11:04:49,active,1
11:04:49,idle,40
11:04:51,active,2
11:04:51,idle,40
11:04:54,active,2
11:04:54,idle,40
11:04:56,active,2
11:04:56,idle,40
11:04:58,active,2
11:04:58,idle,40
11:05:00,active,2
11:05:00,idle,40
11:05:02,active,2
11:05:02,idle,40
11:05:04,active,1
11:05:04,idle,41
11:05:07,active,2
11:05:07,idle,40
11:05:09,active,1
11:05:09,idle,41
11:05:11,active,1
11:05:13,active,32
11:05:13,idle,18
11:05:13,idle in transaction,15
11:05:15,active,21
11:05:15,idle,8
11:05:15,idle in transaction,36
11:05:18,active,4
11:05:18,idle,24
11:05:18,idle in transaction,38
11:05:20,active,18
11:05:20,idle,14
11:05:20,idle in transaction,34
11:05:22,active,36
11:05:22,idle,3
11:05:22,idle in transaction,27
11:05:25,active,2
11:05:25,idle,65
11:05:27,active,2
11:05:27,idle,65
11:05:29,active,2
11:05:29,idle,65
11:05:32,active,2
11:05:32,idle,65
11:05:34,active,2
11:05:34,idle,65
11:05:36,active,1
11:05:36,idle,66
11:05:38,active,2
11:05:38,idle,65
11:05:40,active,2
11:05:40,idle,65
11:05:42,active,2
11:05:42,idle,65
11:05:45,active,28
11:05:45,idle,2
11:05:45,idle in transaction,36
11:05:47,active,13
11:05:47,idle,5
11:05:47,idle in transaction,48
11:05:49,active,23
11:05:49,idle,3
11:05:49,idle in transaction,40
11:05:51,active,19
11:05:51,idle,5
11:05:51,idle in transaction,42
11:05:55,active,34
11:05:55,idle,3
11:05:55,idle in transaction,29
11:05:57,active,26
11:05:57,idle,4
11:05:57,idle in transaction,36
11:05:59,active,38
11:05:59,idle,4
11:05:59,idle in transaction,24
11:06:02,active,12
11:06:02,idle,5
11:06:02,idle in transaction,49
11:06:04,active,25
11:06:04,idle,6
11:06:04,idle in transaction,35
11:06:07,active,35
11:06:07,idle,2
11:06:07,idle in transaction,29
11:06:09,active,29
11:06:09,idle,2
11:06:09,idle in transaction,35
11:06:11,active,33
11:06:11,idle,2
11:06:11,idle in transaction,31
11:06:14,active,23
11:06:14,idle,6
11:06:14,idle in transaction,37
11:06:16,active,1
11:06:19,active,1
11:06:21,active,1
11:06:23,active,1
11:06:26,active,1
11:06:28,active,1
11:06:30,active,1
11:06:32,active,1
11:06:35,active,1
11:06:37,active,2
11:06:39,active,1
11:06:41,active,1
11:06:43,active,1
11:06:45,active,1
11:06:47,active,1
11:06:50,active,1
11:06:52,active,1
11:06:54,active,1
11:06:57,active,1
11:06:59,active,1
11:07:01,active,1
11:07:03,active,1
11:07:06,active,1
11:07:08,active,1
11:07:10,active,1
11:07:12,active,1
11:07:14,active,1
11:07:16,active,1
11:07:19,active,1
11:07:21,active,1
11:07:23,active,1
11:07:25,active,1
11:07:28,active,1
11:07:30,active,1
11:07:32,active,1
11:07:34,active,1
11:07:37,active,1
11:07:39,active,1
11:07:41,active,1
11:07:43,active,1
11:07:45,active,1
11:07:47,active,1
11:07:50,active,1
11:07:52,active,1
11:07:54,active,1
11:07:56,active,1
11:07:59,active,1
11:08:01,active,1
11:08:03,active,1
11:08:06,active,1
11:08:08,active,1
11:08:10,active,1
11:08:12,active,1
11:08:14,active,1
11:08:16,active,1
11:08:18,active,1
11:08:21,active,1
11:08:23,active,1
11:08:25,active,1
11:08:28,active,1
11:08:30,active,1
11:08:32,active,1
11:08:34,active,1
11:08:37,active,1
11:08:39,active,1
11:08:41,active,1
11:08:43,active,1
11:08:45,active,1
11:08:47,active,1
11:08:50,active,1
11:08:52,active,1
11:08:54,active,1
11:08:56,active,1
11:08:59,active,1
11:09:01,active,1
11:09:03,active,1
11:09:05,active,1
11:09:08,active,1
11:09:10,active,1
11:09:12,active,1
11:09:14,active,1
