ts,relname,n_live,n_dead,autovac_count,last_autovac,autoanalyze_count
11:03:14,bookings,0,0,0,-,0
11:03:14,goose_db_version,2,0,0,-,0
11:03:14,idempotency_records,35095,0,13,10:54:29,16
11:03:14,reservations,35095,0,13,10:54:30,16
11:03:14,slots,61540,0,16,10:53:29,17
11:03:14,user_identities,35095,0,13,10:54:29,16
11:03:14,user_time_claims,35095,0,13,10:54:30,16
11:03:16,bookings,0,0,0,-,0
11:03:16,goose_db_version,2,0,0,-,0
11:03:16,idempotency_records,35095,0,13,10:54:29,16
11:03:16,reservations,35095,0,13,10:54:30,16
11:03:16,slots,61540,0,16,10:53:29,17
11:03:16,user_identities,35095,0,13,10:54:29,16
11:03:16,user_time_claims,35095,0,13,10:54:30,16
11:03:19,bookings,0,0,0,-,0
11:03:19,goose_db_version,2,0,0,-,0
11:03:19,idempotency_records,35095,0,13,10:54:29,16
11:03:19,reservations,35095,0,13,10:54:30,16
11:03:19,slots,61540,0,16,10:53:29,17
11:03:19,user_identities,35095,0,13,10:54:29,16
11:03:19,user_time_claims,35095,0,13,10:54:30,16
11:03:22,bookings,0,0,0,-,0
11:03:22,goose_db_version,2,0,0,-,0
11:03:22,idempotency_records,35095,0,13,10:54:29,16
11:03:22,reservations,35095,0,13,10:54:30,16
11:03:22,slots,61540,0,16,10:53:29,17
11:03:22,user_identities,35095,0,13,10:54:29,16
11:03:22,user_time_claims,35095,0,13,10:54:30,16
11:03:24,bookings,0,0,0,-,0
11:03:24,goose_db_version,2,0,0,-,0
11:03:24,idempotency_records,35095,0,13,10:54:29,16
11:03:24,reservations,35095,0,13,10:54:30,16
11:03:24,slots,61540,0,16,10:53:29,17
11:03:24,user_identities,35095,0,13,10:54:29,16
11:03:24,user_time_claims,35095,0,13,10:54:30,16
11:03:26,bookings,0,0,0,-,0
11:03:26,goose_db_version,2,0,0,-,0
11:03:26,idempotency_records,0,0,13,10:54:29,16
11:03:26,reservations,0,0,13,10:54:30,16
11:03:26,slots,63052,0,16,10:53:29,17
11:03:26,user_identities,0,0,13,10:54:29,16
11:03:26,user_time_claims,0,0,13,10:54:30,16
11:03:28,bookings,0,0,0,-,0
11:03:28,goose_db_version,2,0,0,-,0
11:03:28,idempotency_records,0,0,13,10:54:29,16
11:03:28,reservations,0,0,13,10:54:30,16
11:03:28,slots,66086,0,16,10:53:29,17
11:03:28,user_identities,0,0,13,10:54:29,16
11:03:28,user_time_claims,0,0,13,10:54:30,16
