ts,wait_event_type,wait_event,n
10:46:55,IO,WALSync,1
10:46:57,IO,WALSync,1
10:46:59,RUNNING,-,1
10:47:01,IO,WALSync,1
10:47:03,IO,WALSync,1
10:47:05,Client,ClientRead,1
10:47:07,IO,WALSync,1
10:47:14,IO,WALSync,1
10:47:16,RUNNING,-,9
10:47:16,LWLock,WALWrite,8
10:47:16,Client,ClientRead,2
10:47:16,LWLock,BufferContent,2
10:47:16,IO,WALSync,1
10:47:18,LWLock,WALWrite,6
10:47:18,IO,WALSync,1
10:47:20,LWLock,BufferContent,9
10:47:20,RUNNING,-,5
10:47:20,LWLock,WALWrite,2
10:47:20,Client,ClientRead,1
10:47:20,IO,WALSync,1
10:47:22,LWLock,WALWrite,4
10:47:22,RUNNING,-,4
10:47:22,Client,ClientRead,1
10:47:22,IO,WALSync,1
10:47:22,LWLock,BufferContent,1
10:47:24,LWLock,BufferContent,7
10:47:24,RUNNING,-,4
10:47:24,Client,ClientRead,2
10:47:24,LWLock,WALWrite,2
10:47:24,IO,WALSync,1
10:47:30,IO,WALSync,1
10:47:32,IO,WALSync,1
10:47:38,IO,WALSync,1
10:47:40,IO,WALSync,1
10:47:42,IO,WALSync,1
10:47:46,IO,WALSync,1
10:47:49,RUNNING,-,9
10:47:49,LWLock,WALWrite,2
10:47:49,IO,WALSync,1
10:47:51,LWLock,WALWrite,3
10:47:51,RUNNING,-,2
10:47:51,IO,WALSync,1
10:47:53,LWLock,WALWrite,9
10:47:53,RUNNING,-,7
10:47:55,RUNNING,-,11
10:47:55,LWLock,WALWrite,2
10:47:55,Client,ClientRead,1
10:47:55,IO,WALSync,1
10:47:58,RUNNING,-,16
10:47:58,LWLock,BufferContent,3
10:47:58,LWLock,WALWrite,1
10:48:00,RUNNING,-,21
10:48:00,IO,WALSync,1
10:48:00,LWLock,BufferContent,1
10:48:02,RUNNING,-,11
10:48:02,LWLock,WALWrite,2
10:48:02,IO,WALSync,1
10:48:04,RUNNING,-,20
10:48:04,LWLock,WALWrite,7
10:48:04,IO,WALSync,1
10:48:06,RUNNING,-,16
10:48:06,IO,WALSync,1
10:48:06,LWLock,WALWrite,1
10:48:09,RUNNING,-,12
10:48:09,IO,WALSync,1
10:48:11,RUNNING,-,13
10:48:11,LWLock,WALWrite,2
10:48:11,IO,WALSync,1
10:48:13,RUNNING,-,16
10:48:13,LWLock,BufferContent,2
10:48:13,IO,WALSync,1
10:48:13,LWLock,WALWrite,1
10:48:15,RUNNING,-,11
10:48:15,IO,WALWrite,1
10:48:15,LWLock,WALWrite,1
10:48:17,RUNNING,-,13
10:48:17,LWLock,WALWrite,3
10:48:17,Client,ClientRead,1
10:48:20,IO,WALSync,1
10:48:22,IO,WALSync,1
10:48:24,IO,WALSync,1
10:48:26,IO,WALSync,1
10:48:29,IO,WALSync,1
10:48:31,IO,WALSync,1
10:48:33,IO,WALSync,1
10:48:35,IO,WALSync,1
10:48:37,IO,WALSync,1
10:48:39,IO,WALSync,1
10:48:46,LWLock,BufferContent,8
10:48:46,RUNNING,-,5
10:48:46,LWLock,WALWrite,3
10:48:46,Client,ClientRead,2
10:48:46,IO,WALSync,1
10:48:48,Client,ClientRead,4
10:48:48,LWLock,WALWrite,4
10:48:48,IO,WALSync,1
10:48:48,LWLock,BufferContent,1
10:48:48,RUNNING,-,1
10:48:50,LWLock,BufferContent,12
10:48:50,RUNNING,-,7
10:48:50,Client,ClientRead,4
10:48:50,IO,DataFileExtend,1
10:48:50,LWLock,WALWrite,1
10:48:52,Client,ClientRead,1
10:48:52,IO,WALSync,1
10:48:52,RUNNING,-,1
10:48:56,IO,WALSync,1
10:48:59,IO,WALSync,1
10:49:01,IO,WALSync,1
10:49:03,IO,WALSync,1
10:49:06,IO,WALSync,1
10:49:08,IO,WALSync,1
10:49:12,IO,WALSync,1
10:49:14,IO,WALSync,1
10:49:16,Client,ClientRead,11
10:49:16,LWLock,WALWrite,11
10:49:16,RUNNING,-,8
10:49:16,LWLock,BufferContent,4
10:49:16,LWLock,XidGen,2
10:49:16,IO,WALSync,1
10:49:18,LWLock,BufferContent,29
10:49:18,LWLock,WALWrite,12
10:49:18,Client,ClientRead,3
10:49:18,RUNNING,-,3
10:49:18,IO,WALSync,1
10:49:20,Client,ClientRead,3
10:49:20,IO,WALSync,1
10:49:20,LWLock,WALWrite,1
10:49:23,LWLock,WALWrite,33
10:49:23,Client,ClientRead,1
10:49:23,IO,WALSync,1
10:49:23,LWLock,BufferContent,1
10:49:23,RUNNING,-,1
10:49:27,LWLock,WALWrite,3
10:49:27,Client,ClientRead,2
