timestamp,labels,value
1787135742,authority=authority-1,0
1787135747,authority=authority-1,0
1787135752,authority=authority-1,4
1787135757,authority=authority-1,1
1787135762,authority=authority-1,3
1787135767,authority=authority-1,1
1787135772,authority=authority-1,4
1787135777,authority=authority-1,2
1787135782,authority=authority-1,1
1787135787,authority=authority-1,0
1787135792,authority=authority-1,2
1787135797,authority=authority-1,1
1787135802,authority=authority-1,2
1787135807,authority=authority-1,0
1787135812,authority=authority-1,1
1787135817,authority=authority-1,1
1787135822,authority=authority-1,4
1787135827,authority=authority-1,1
1787135832,authority=authority-1,0
1787135837,authority=authority-1,0
1787135842,authority=authority-1,1
1787135847,authority=authority-1,1
1787135852,authority=authority-1,1
1787135857,authority=authority-1,1
1787135862,authority=authority-1,5
1787135867,authority=authority-1,2
1787135872,authority=authority-1,2
1787135877,authority=authority-1,4
1787135882,authority=authority-1,2
1787135887,authority=authority-1,3
1787135892,authority=authority-1,2
1787135897,authority=authority-1,1
1787135902,authority=authority-1,1
1787135907,authority=authority-1,2
1787135912,authority=authority-1,3
1787135917,authority=authority-1,3
1787135922,authority=authority-1,2
1787135927,authority=authority-1,5
1787135932,authority=authority-1,2
1787135937,authority=authority-1,0
1787135942,authority=authority-1,2
1787135947,authority=authority-1,2
1787135952,authority=authority-1,2
1787135957,authority=authority-1,4
1787135962,authority=authority-1,3
1787135967,authority=authority-1,2
1787135972,authority=authority-1,4
1787135977,authority=authority-1,2
1787135982,authority=authority-1,1
1787135987,authority=authority-1,4
1787135992,authority=authority-1,5
1787135997,authority=authority-1,1
1787136002,authority=authority-1,5
1787136007,authority=authority-1,2
1787136012,authority=authority-1,0
1787136017,authority=authority-1,2
1787136022,authority=authority-1,2
1787136027,authority=authority-1,0
1787136032,authority=authority-1,1
1787136037,authority=authority-1,2
1787136042,authority=authority-1,1
1787136047,authority=authority-1,4
1787136052,authority=authority-1,1
1787136057,authority=authority-1,1
1787136062,authority=authority-1,3
1787136067,authority=authority-1,0
1787136072,authority=authority-1,0
1787136077,authority=authority-1,5
1787136082,authority=authority-1,2
1787136087,authority=authority-1,1
1787136092,authority=authority-1,1
1787136097,authority=authority-1,0
1787136102,authority=authority-1,2
1787136107,authority=authority-1,3
