timestamp,labels,value
1787134981,authority=authority-1,1.314564
1787134986,authority=authority-1,1.314564
1787134991,authority=authority-1,1.314564
1787134996,authority=authority-1,1.314564
1787135001,authority=authority-1,1.314564
1787135006,authority=authority-1,1.314564
1787135011,authority=authority-1,1.314564
1787135016,authority=authority-1,1.314564
1787135021,authority=authority-1,1.314564
1787135026,authority=authority-1,1.314564
1787135031,authority=authority-1,1.314564
1787135036,authority=authority-1,1.314564
1787135041,authority=authority-1,1.314564
1787135046,authority=authority-1,1.314564
1787135051,authority=authority-1,1.314564
1787135056,authority=authority-1,1.314564
1787135061,authority=authority-1,1.314564
1787135066,authority=authority-1,1.314564
1787135071,authority=authority-1,1.314564
1787135076,authority=authority-1,1.314564
1787135081,authority=authority-1,1.314564
1787135086,authority=authority-1,1.314564
1787135091,authority=authority-1,1.314564
1787135096,authority=authority-1,1.314564
1787135101,authority=authority-1,1.314564
1787135106,authority=authority-1,1.314564
1787135111,authority=authority-1,1.508488
1787135116,authority=authority-1,1.314564
1787135121,authority=authority-1,0.011398
1787135126,authority=authority-1,0.01104
1787135131,authority=authority-1,0
1787135136,authority=authority-1,0.005242
1787135141,authority=authority-1,0.006303
1787135146,authority=authority-1,0.004502
1787135151,authority=authority-1,0
1787135156,authority=authority-1,0.006084
1787135161,authority=authority-1,0.006179
1787135166,authority=authority-1,0.007313
1787135171,authority=authority-1,1.335142
1787135176,authority=authority-1,0.007179
1787135181,authority=authority-1,0.005615
1787135186,authority=authority-1,0.00222
1787135191,authority=authority-1,0
1787135196,authority=authority-1,0.002461
1787135201,authority=authority-1,0.008203
1787135206,authority=authority-1,0.007432
1787135211,authority=authority-1,0.00874
1787135216,authority=authority-1,0.003466
1787135221,authority=authority-1,0.005643
1787135226,authority=authority-1,0.01113
1787135231,authority=authority-1,1.483991
1787135236,authority=authority-1,0.016808
1787135241,authority=authority-1,0.004617
1787135246,authority=authority-1,0.01207
1787135251,authority=authority-1,0.01234
1787135256,authority=authority-1,0.007285
1787135261,authority=authority-1,0.011375
1787135266,authority=authority-1,0.007244
1787135271,authority=authority-1,0.009217
1787135276,authority=authority-1,0.010968
1787135281,authority=authority-1,0.009544
1787135286,authority=authority-1,0.006563
1787135291,authority=authority-1,1.230734
1787135296,authority=authority-1,0.002116
1787135301,authority=authority-1,0.012682
1787135306,authority=authority-1,0.006639
1787135311,authority=authority-1,0
1787135316,authority=authority-1,0.010591
1787135321,authority=authority-1,0
1787135326,authority=authority-1,0
1787135331,authority=authority-1,0.001889
1787135336,authority=authority-1,0.009063
1787135341,authority=authority-1,0.005379
1787135346,authority=authority-1,0
1787135351,authority=authority-1,1.085037
1787135356,authority=authority-1,0.005158
1787135361,authority=authority-1,0
1787135366,authority=authority-1,0.007376
1787135371,authority=authority-1,0.010241
1787135376,authority=authority-1,0.006505
1787135381,authority=authority-1,0.002553
1787135386,authority=authority-1,0.00882
1787135391,authority=authority-1,0.005232
1787135396,authority=authority-1,0.010856
1787135401,authority=authority-1,0.008945
1787135406,authority=authority-1,0.004462
1787135411,authority=authority-1,0.279604
1787135416,authority=authority-1,0.156993
1787135421,authority=authority-1,0
1787135426,authority=authority-1,0.017733
1787135431,authority=authority-1,0
1787135436,authority=authority-1,0.009209
1787135441,authority=authority-1,0.003702
1787135446,authority=authority-1,0.008967
1787135451,authority=authority-1,0.00228
1787135456,authority=authority-1,0.032831
1787135461,authority=authority-1,0
1787135466,authority=authority-1,0.005188
1787135471,authority=authority-1,0.840055
1787135476,authority=authority-1,0.012741
1787135481,authority=authority-1,0
1787135486,authority=authority-1,0.001285
1787135491,authority=authority-1,0
1787135496,authority=authority-1,0.005987
1787135501,authority=authority-1,0.008612
1787135506,authority=authority-1,0.00863
1787135511,authority=authority-1,0.00938
1787135516,authority=authority-1,0.008788
1787135521,authority=authority-1,0.005363
1787135526,authority=authority-1,0.002452
1787135531,authority=authority-1,0.274129
1787135536,authority=authority-1,5.365321
1787135541,authority=authority-1,0.010409
1787135546,authority=authority-1,0
1787135551,authority=authority-1,0.003439
1787135556,authority=authority-1,0.015084
1787135561,authority=authority-1,0.010185
1787135566,authority=authority-1,0.007431
1787135571,authority=authority-1,0.006447
1787135576,authority=authority-1,0
1787135581,authority=authority-1,0.004668
