timestamp,labels,value
1787137252,authority=authority-1,0
1787137257,authority=authority-1,0
1787137262,authority=authority-1,0.002981
1787137267,authority=authority-1,0.004689
1787137272,authority=authority-1,0
1787137277,authority=authority-1,0.016568
1787137282,authority=authority-1,0.00571
1787137287,authority=authority-1,0
1787137292,authority=authority-1,0.002217
1787137297,authority=authority-1,0.007555
1787137302,authority=authority-1,0.004157
1787137307,authority=authority-1,0
1787137312,authority=authority-1,0.007618
1787137317,authority=authority-1,0
1787137322,authority=authority-1,0
1787137327,authority=authority-1,0
1787137332,authority=authority-1,0.969629
1787137337,authority=authority-1,0.006546
1787137342,authority=authority-1,0.008083
1787137347,authority=authority-1,0.008775
1787137352,authority=authority-1,0.003275
1787137357,authority=authority-1,0
1787137362,authority=authority-1,0
1787137367,authority=authority-1,0.00935
1787137372,authority=authority-1,0.010797
1787137377,authority=authority-1,0
1787137382,authority=authority-1,0.009765
1787137387,authority=authority-1,0.001332
1787137392,authority=authority-1,0.846459
1787137397,authority=authority-1,0.007573
1787137402,authority=authority-1,0.008428
1787137407,authority=authority-1,0.017676
1787137412,authority=authority-1,0.00573
1787137417,authority=authority-1,0.005801
1787137422,authority=authority-1,0.008454
1787137427,authority=authority-1,0.013074
1787137432,authority=authority-1,0.006937
1787137437,authority=authority-1,0.012743
1787137442,authority=authority-1,0.003348
1787137447,authority=authority-1,0.001063
1787137452,authority=authority-1,0.813707
1787137457,authority=authority-1,0.007089
1787137462,authority=authority-1,0.01064
1787137467,authority=authority-1,0.008281
1787137472,authority=authority-1,0.00792
1787137477,authority=authority-1,0.015958
1787137482,authority=authority-1,0.004009
1787137487,authority=authority-1,0.002602
1787137492,authority=authority-1,0.005069
1787137497,authority=authority-1,0.006356
1787137502,authority=authority-1,0
1787137507,authority=authority-1,0.008699
1787137512,authority=authority-1,0.358733
1787137517,authority=authority-1,0.01186
1787137522,authority=authority-1,0.000362
1787137527,authority=authority-1,0.006564
1787137532,authority=authority-1,0
1787137537,authority=authority-1,0.008463
1787137542,authority=authority-1,0
1787137547,authority=authority-1,0.006958
1787137552,authority=authority-1,0.00267
1787137557,authority=authority-1,0
1787137562,authority=authority-1,0.007987
1787137567,authority=authority-1,0.004608
1787137572,authority=authority-1,0.220251
1787137577,authority=authority-1,0.003824
1787137582,authority=authority-1,0.000847
1787137587,authority=authority-1,0
1787137592,authority=authority-1,0
1787137597,authority=authority-1,0.00069
1787137602,authority=authority-1,0.003487
1787137607,authority=authority-1,0.008323
1787137612,authority=authority-1,0.009883
1787137617,authority=authority-1,0.002825
1787137622,authority=authority-1,0
1787137627,authority=authority-1,0.009639
1787137632,authority=authority-1,1.302116
1787137637,authority=authority-1,0.012513
1787137642,authority=authority-1,0.005829
1787137647,authority=authority-1,0.001829
1787137652,authority=authority-1,0.003622
1787137657,authority=authority-1,0.005625
1787137662,authority=authority-1,0.001026
1787137667,authority=authority-1,0.014547
1787137672,authority=authority-1,0.014007
1787137677,authority=authority-1,0.005412
1787137682,authority=authority-1,0.011991
1787137687,authority=authority-1,0.007903
1787137692,authority=authority-1,1.235056
1787137697,authority=authority-1,4.846031
1787137702,authority=authority-1,0
1787137707,authority=authority-1,0.001421
1787137712,authority=authority-1,0.010346
1787137717,authority=authority-1,0.016997
1787137722,authority=authority-1,0.006797
1787137727,authority=authority-1,0
