timestamp,labels,value
1787146990,authority=authority-1,0
1787146995,authority=authority-1,3
1787147000,authority=authority-1,1
1787147005,authority=authority-1,2
1787147010,authority=authority-1,1
1787147015,authority=authority-1,3
1787147020,authority=authority-1,1
1787147025,authority=authority-1,4
1787147030,authority=authority-1,3
1787147035,authority=authority-1,2
1787147040,authority=authority-1,2
1787147045,authority=authority-1,0
1787147050,authority=authority-1,1
1787147055,authority=authority-1,1
1787147060,authority=authority-1,3
1787147065,authority=authority-1,2
1787147070,authority=authority-1,4
1787147075,authority=authority-1,1
1787147080,authority=authority-1,2
1787147085,authority=authority-1,0
1787147090,authority=authority-1,0
1787147095,authority=authority-1,3
1787147100,authority=authority-1,3
1787147105,authority=authority-1,1
1787147110,authority=authority-1,1
1787147115,authority=authority-1,1
1787147120,authority=authority-1,0
1787147125,authority=authority-1,1
1787147130,authority=authority-1,4
1787147135,authority=authority-1,0
1787147140,authority=authority-1,3
1787147145,authority=authority-1,5
1787147150,authority=authority-1,2
1787147155,authority=authority-1,3
1787147160,authority=authority-1,0
1787147165,authority=authority-1,1
1787147170,authority=authority-1,3
1787147175,authority=authority-1,2
1787147180,authority=authority-1,4
1787147185,authority=authority-1,0
1787147190,authority=authority-1,1
1787147195,authority=authority-1,0
1787147200,authority=authority-1,4
1787147205,authority=authority-1,1
1787147210,authority=authority-1,4
1787147215,authority=authority-1,1
1787147220,authority=authority-1,2
1787147225,authority=authority-1,0
1787147230,authority=authority-1,5
1787147235,authority=authority-1,2
1787147240,authority=authority-1,5
1787147245,authority=authority-1,6
1787147250,authority=authority-1,3
1787147255,authority=authority-1,1
1787147260,authority=authority-1,2
1787147265,authority=authority-1,1
1787147270,authority=authority-1,4
1787147275,authority=authority-1,1
1787147280,authority=authority-1,0
1787147285,authority=authority-1,5
1787147290,authority=authority-1,1
1787147295,authority=authority-1,2
1787147300,authority=authority-1,0
1787147305,authority=authority-1,1
1787147310,authority=authority-1,2
1787147315,authority=authority-1,1
1787147320,authority=authority-1,0
1787147325,authority=authority-1,3
1787147330,authority=authority-1,1
1787147335,authority=authority-1,1
1787147340,authority=authority-1,3
1787147345,authority=authority-1,3
1787147350,authority=authority-1,5
1787147355,authority=authority-1,4
1787147360,authority=authority-1,3
1787147365,authority=authority-1,2
1787147370,authority=authority-1,3
1787147375,authority=authority-1,6
1787147380,authority=authority-1,1
1787147385,authority=authority-1,1
1787147390,authority=authority-1,0
1787147395,authority=authority-1,3
1787147400,authority=authority-1,3
1787147405,authority=authority-1,3
1787147410,authority=authority-1,0
1787147415,authority=authority-1,0
1787147420,authority=authority-1,2
1787147425,authority=authority-1,1
1787147430,authority=authority-1,3
1787147435,authority=authority-1,2
1787147440,authority=authority-1,1
1787147445,authority=authority-1,3
1787147450,authority=authority-1,5
1787147455,authority=authority-1,1
1787147460,authority=authority-1,0
1787147465,authority=authority-1,2
1787147470,authority=authority-1,4
1787147475,authority=authority-1,3
1787147480,authority=authority-1,2
1787147485,authority=authority-1,3
1787147490,authority=authority-1,3
1787147495,authority=authority-1,2
1787147500,authority=authority-1,1
1787147505,authority=authority-1,4
1787147510,authority=authority-1,1
1787147515,authority=authority-1,4
1787147520,authority=authority-1,0
1787147525,authority=authority-1,2
1787147530,authority=authority-1,1
1787147535,authority=authority-1,2
1787147540,authority=authority-1,1
1787147545,authority=authority-1,5
1787147550,authority=authority-1,3
1787147555,authority=authority-1,2
1787147560,authority=authority-1,1
1787147565,authority=authority-1,1
1787147570,authority=authority-1,3
1787147575,authority=authority-1,0
1787147580,authority=authority-1,0
1787147585,authority=authority-1,1
1787147590,authority=authority-1,2
1787147060,"authority=authority-1,wait_event_type=Client",1
1787147410,"authority=authority-1,wait_event_type=Client",1
1787147000,"authority=authority-1,wait_event_type=IO",1
1787147005,"authority=authority-1,wait_event_type=IO",1
1787147010,"authority=authority-1,wait_event_type=IO",1
1787147015,"authority=authority-1,wait_event_type=IO",1
1787147020,"authority=authority-1,wait_event_type=IO",1
1787147030,"authority=authority-1,wait_event_type=IO",1
1787147035,"authority=authority-1,wait_event_type=IO",1
1787147045,"authority=authority-1,wait_event_type=IO",1
1787147050,"authority=authority-1,wait_event_type=IO",1
1787147060,"authority=authority-1,wait_event_type=IO",1
1787147065,"authority=authority-1,wait_event_type=IO",1
1787147070,"authority=authority-1,wait_event_type=IO",1
1787147075,"authority=authority-1,wait_event_type=IO",1
1787147080,"authority=authority-1,wait_event_type=IO",1
1787147085,"authority=authority-1,wait_event_type=IO",1
1787147090,"authority=authority-1,wait_event_type=IO",1
1787147095,"authority=authority-1,wait_event_type=IO",1
1787147105,"authority=authority-1,wait_event_type=IO",1
1787147110,"authority=authority-1,wait_event_type=IO",1
1787147115,"authority=authority-1,wait_event_type=IO",1
1787147125,"authority=authority-1,wait_event_type=IO",1
1787147135,"authority=authority-1,wait_event_type=IO",1
1787147140,"authority=authority-1,wait_event_type=IO",1
1787147145,"authority=authority-1,wait_event_type=IO",1
1787147150,"authority=authority-1,wait_event_type=IO",1
1787147155,"authority=authority-1,wait_event_type=IO",1
1787147160,"authority=authority-1,wait_event_type=IO",1
1787147170,"authority=authority-1,wait_event_type=IO",1
1787147175,"authority=authority-1,wait_event_type=IO",1
1787147185,"authority=authority-1,wait_event_type=IO",1
1787147190,"authority=authority-1,wait_event_type=IO",1
1787147195,"authority=authority-1,wait_event_type=IO",1
1787147205,"authority=authority-1,wait_event_type=IO",1
1787147215,"authority=authority-1,wait_event_type=IO",1
1787147220,"authority=authority-1,wait_event_type=IO",1
1787147225,"authority=authority-1,wait_event_type=IO",1
1787147235,"authority=authority-1,wait_event_type=IO",1
1787147240,"authority=authority-1,wait_event_type=IO",1
1787147250,"authority=authority-1,wait_event_type=IO",1
1787147260,"authority=authority-1,wait_event_type=IO",1
1787147265,"authority=authority-1,wait_event_type=IO",1
1787147270,"authority=authority-1,wait_event_type=IO",1
1787147275,"authority=authority-1,wait_event_type=IO",1
1787147280,"authority=authority-1,wait_event_type=IO",1
1787147285,"authority=authority-1,wait_event_type=IO",1
1787147290,"authority=authority-1,wait_event_type=IO",1
1787147295,"authority=authority-1,wait_event_type=IO",1
1787147305,"authority=authority-1,wait_event_type=IO",1
1787147320,"authority=authority-1,wait_event_type=IO",1
1787147325,"authority=authority-1,wait_event_type=IO",1
1787147330,"authority=authority-1,wait_event_type=IO",1
1787147335,"authority=authority-1,wait_event_type=IO",1
1787147345,"authority=authority-1,wait_event_type=IO",1
1787147360,"authority=authority-1,wait_event_type=IO",1
1787147365,"authority=authority-1,wait_event_type=IO",1
1787147370,"authority=authority-1,wait_event_type=IO",1
1787147380,"authority=authority-1,wait_event_type=IO",1
1787147385,"authority=authority-1,wait_event_type=IO",1
1787147405,"authority=authority-1,wait_event_type=IO",1
1787147410,"authority=authority-1,wait_event_type=IO",1
1787147425,"authority=authority-1,wait_event_type=IO",1
1787147430,"authority=authority-1,wait_event_type=IO",1
1787147450,"authority=authority-1,wait_event_type=IO",1
1787147460,"authority=authority-1,wait_event_type=IO",1
1787147470,"authority=authority-1,wait_event_type=IO",1
1787147475,"authority=authority-1,wait_event_type=IO",1
1787147480,"authority=authority-1,wait_event_type=IO",1
1787147485,"authority=authority-1,wait_event_type=IO",1
1787147490,"authority=authority-1,wait_event_type=IO",1
1787147495,"authority=authority-1,wait_event_type=IO",1
1787147500,"authority=authority-1,wait_event_type=IO",1
1787147510,"authority=authority-1,wait_event_type=IO",1
1787147520,"authority=authority-1,wait_event_type=IO",1
1787147525,"authority=authority-1,wait_event_type=IO",1
1787147530,"authority=authority-1,wait_event_type=IO",1
1787147540,"authority=authority-1,wait_event_type=IO",1
1787147560,"authority=authority-1,wait_event_type=IO",1
1787147565,"authority=authority-1,wait_event_type=IO",1
1787147570,"authority=authority-1,wait_event_type=IO",1
1787147575,"authority=authority-1,wait_event_type=IO",1
1787147580,"authority=authority-1,wait_event_type=IO",1
1787147590,"authority=authority-1,wait_event_type=IO",1
1787146990,"authority=authority-1,wait_event_type=LWLock",4
