timestamp,labels,value
1787148510,authority=authority-1,0
1787148515,authority=authority-1,0
1787148520,authority=authority-1,0.008102
1787148525,authority=authority-1,0.005709
1787148530,authority=authority-1,0.006251
1787148535,authority=authority-1,0.003482
1787148540,authority=authority-1,0.004677
1787148545,authority=authority-1,0.026041
1787148550,authority=authority-1,0.00041
1787148555,authority=authority-1,0.010702
1787148560,authority=authority-1,0.00161
1787148565,authority=authority-1,0.002856
1787148570,authority=authority-1,0.004862
1787148575,authority=authority-1,0.012721
1787148580,authority=authority-1,0.004796
1787148585,authority=authority-1,0.908222
1787148590,authority=authority-1,0.006116
1787148595,authority=authority-1,0.008673
1787148600,authority=authority-1,0.005601
1787148605,authority=authority-1,0.005878
1787148610,authority=authority-1,0.004586
1787148615,authority=authority-1,0.007065
1787148620,authority=authority-1,0.004934
1787148625,authority=authority-1,0.008306
1787148630,authority=authority-1,0.007509
1787148635,authority=authority-1,0
1787148640,authority=authority-1,0.000015
1787148645,authority=authority-1,0.245045
1787148650,authority=authority-1,0
1787148655,authority=authority-1,0.005122
1787148660,authority=authority-1,0
1787148665,authority=authority-1,0.004696
1787148670,authority=authority-1,0.01241
1787148675,authority=authority-1,0
1787148680,authority=authority-1,0.006533
1787148685,authority=authority-1,0
1787148690,authority=authority-1,0.004594
1787148695,authority=authority-1,0.006921
1787148700,authority=authority-1,0.002012
1787148705,authority=authority-1,0.265108
1787148710,authority=authority-1,0
1787148715,authority=authority-1,0
1787148720,authority=authority-1,0.005306
1787148725,authority=authority-1,0.007325
1787148730,authority=authority-1,0.006658
1787148735,authority=authority-1,0
1787148740,authority=authority-1,0.005812
1787148745,authority=authority-1,0.005552
1787148750,authority=authority-1,0.006944
1787148755,authority=authority-1,0.005861
1787148760,authority=authority-1,0.00542
1787148765,authority=authority-1,0.289308
1787148770,authority=authority-1,0.00809
1787148775,authority=authority-1,0.005563
1787148780,authority=authority-1,0.005584
1787148785,authority=authority-1,0
1787148790,authority=authority-1,0.002841
1787148795,authority=authority-1,0.003697
1787148800,authority=authority-1,0.006813
1787148805,authority=authority-1,0
1787148810,authority=authority-1,0
1787148815,authority=authority-1,0.016194
1787148820,authority=authority-1,0.000047
1787148825,authority=authority-1,1.185459
1787148830,authority=authority-1,1.5731
1787148835,authority=authority-1,0.008725
1787148840,authority=authority-1,0.005259
1787148845,authority=authority-1,0
1787148850,authority=authority-1,0.005835
1787148855,authority=authority-1,0.005716
1787148860,authority=authority-1,0
1787148865,authority=authority-1,0.006546
1787148870,authority=authority-1,0
1787148875,authority=authority-1,0.00699
1787148880,authority=authority-1,0.002815
1787148885,authority=authority-1,0.023227
1787148890,authority=authority-1,0.013093
1787148895,authority=authority-1,0.00446
1787148900,authority=authority-1,0.004732
1787148905,authority=authority-1,0.003203
1787148910,authority=authority-1,0.003844
1787148915,authority=authority-1,0.007972
1787148920,authority=authority-1,0.008833
1787148925,authority=authority-1,0.007135
1787148930,authority=authority-1,0.006814
1787148935,authority=authority-1,0.000352
1787148940,authority=authority-1,0.010399
1787148945,authority=authority-1,1.120675
1787148950,authority=authority-1,4.183428
1787148955,authority=authority-1,3.738642
1787148960,authority=authority-1,0
1787148965,authority=authority-1,0.004818
1787148970,authority=authority-1,0.006475
1787148975,authority=authority-1,0.00118
1787148980,authority=authority-1,0.006388
1787148985,authority=authority-1,0.023437
1787148990,authority=authority-1,0
1787148995,authority=authority-1,0.00721
1787149000,authority=authority-1,0.004401
1787149005,authority=authority-1,1.091367
1787149010,authority=authority-1,0.00511
1787149015,authority=authority-1,0.000578
1787149020,authority=authority-1,0.008153
1787149025,authority=authority-1,0
1787149030,authority=authority-1,0.006153
1787149035,authority=authority-1,0.010813
1787149040,authority=authority-1,0.006823
1787149045,authority=authority-1,0.003775
1787149050,authority=authority-1,0.007012
1787149055,authority=authority-1,0.00191
1787149060,authority=authority-1,0
1787149065,authority=authority-1,0.908255
1787149070,authority=authority-1,3.919278
1787149075,authority=authority-1,2.139811
1787149080,authority=authority-1,0.005693
1787149085,authority=authority-1,0.006242
1787149090,authority=authority-1,0
1787149095,authority=authority-1,0.01021
1787149100,authority=authority-1,0.004484
1787149105,authority=authority-1,0.013452
1787149110,authority=authority-1,0.003034
